Business Name,Health Score,Health Index
Monster Mash,0.3582338461538461,2.5
The Counter,0.3998741935483871,3
Shucks Tavern & Oyster Bar,0.2896736334405148,2.5
Wasabi Japanese Steakhouse,0.1670058823529412,2.5
Ethel M Chocolates,0.34384999999999993,2.5
Bruegger's Bagels,0.33818205128205125,2.5
Gratifying Grains,0.28154166666666663,2.5
Kenzo Ramen,0.28336330275229343,2.5
Sunshine and Spice,0.24713606557377052,2.5
Morning Glory Coffeehouse,0.62326,3.5
New Peking Express,0.330986,2.5
Espresso Royale,0.44268666666666673,3
Carl's Jr.,0.0030176470588235303,2
Planet Sub Mesa-Grand,0.29380999999999996,2.5
Chop Steakhouse & Bar,0.21102160493827155,2.5
Naniwa-Taro,0.16326829268292686,2.5
The Hillsdale,0.060250000000000005,2
Wild Wing Cafe,0.20006222222222228,2.5
Tillie's Attic,0.6329,3.5
Hampton Inn & Suites Phoenix Chandler-Fashion Center,0.4237666666666667,3
Olde Town Coffee House,0.1259,2.5
Les Princesses,0.60545,3.5
Taqueria El Capullo,0.49097142857142856,3
Settebello Pizzeria Napoletana,0.2670585116279076,2.5
PIZZAFIRE,0.21420516129032272,2.5
Sloan Park,0.3854666666666667,3
Pecos Community Center,0.7003,4
Postrio,0.2837037634408606,2.5
Dee's Cafe,0.4404,3
Chez Ping,0.30230416666666676,2.5
Tasty & Tasty,0.200048275862069,2.5
Nothing Bundt Cakes,0.33601228070175426,2.5
Island Wok,0.20027894736842108,2.5
Ambassador Chinese Cuisine,0.26893478260869563,2.5
Serenade,0.32739909315746124,2.5
Pastaggio,0.33479230769230767,2.5
Baby Cakes,0.2930565217391302,2.5
East of York Gourmet Food,0.42363448275862087,3
Vanipha Lanna Lao-Thai Restaurant,0.2240125,2.5
Papa Murphy's Take 'N' Bake Pizza,0.5068857142857143,3
Brother's Restaurant,0.23115918367346935,2.5
Arizona Culinary Institute,0.4415351851851852,3
Saxby's Coffee,0.3377583333333334,2.5
The Coffee Shop,0.16004093023255803,2.5
TCBY,0.46469166666666667,3
Little Caesars Pizza,0.12716,2.5
Charleston Antique Mall,0.09957500000000002,2
Cora's Breakfast & Lunch At Clarkson,-0.09163333333333334,2
Drift,0.3810347560975608,3
Cafelatte,0.4404,3
Wienerschnitzel,0.3279742857142857,2.5
Cork & Cleaver Social Kitchen,0.30046026490066197,2.5
Il'Castello Restaurant,0.279355,2.5
Maxies Bistro,0.24612045454545453,2.5
The School Of Professional Makeup,0.0,2
New Hong Kong,0.25802679738562107,2.5
Toys Toys Toys,0.148,2.5
Moxie's Grill & Bar,0.28505986842105274,2.5
Wood35 Restaurant Bar,0.46358571428571427,3
Yang's Restaurant,0.255778431372549,2.5
George's  Kitchen,0.2955166666666665,2.5
Restaurant Le Soleo,0.5984,3.5
Montfort Restaurant,0.133825,2.5
West Valley Pediatric Dentistry & Orthodontics,0.72555,4
The Skylark,0.33750588235294116,2.5
Mai Thai,0.2657478260869566,2.5
Cafe de Paris,0.11144285714285715,2
