Business Name,Health Score,Health Index,,,,,
Wrapcity Gourmet,0.316458929,2.5,,,,,
Tai Pan,0.310819355,2.5,,,,,
Salads UP,0.260106818,2.5,,,,,
Massage 2go,0.2942,2.5,,,,,
Denny's,0.090215385,2,,,,,
Subway,-0.014315789,2,,,,,
Mulligans Sports Bar & Grille,0.143536364,2.5,,,,,
Shanghai 1938,-0.125125,2,,,,,
Noreen's Cocktail Lounge,-0.17,2,,,,,
Tao Restaurant,0.376842424,3,,,,,
Casa Loma,0.171910204,2.5,,,,,
Restaurant Gandhi,0.271898246,2.5,,,,,
Speedway,0.3068,2.5,,,,,
Ardolino's Pizza,0.423022727,3,,,,,
Fleur's Deli,0.298295652,2.5,,,,,
Inferno Hot Pilates,0.126666667,2.5,,,,,
Arby's,0.1117,2,,,,,
Yogurty's Yogurt,0.281731169,2.5,,,,,
Sachi Sushi,0.390629091,3,,,,,
Yard House,0.323917446,2.5,,,,,
Ghazale,0.245463441,2.5,,,,,
Smashburger,0.367555556,3,,,,,
Biryani Kabab and More,0.176907692,2.5,,,,,
Seoul Restaurant,0.250751351,2.5,,,,,
Sichuan Landscape Chinese Restaurant,0.099735593,2,,,,,
"Smell, No Taste!",0.249441176,2.5,,,,,
Disanto Pizza,0.123283333,2.5,,,,,
Buffalo Browns Wings and Things,0.275560606,2.5,,,,,
The Keg Steakhouse + Bar - York Street,0.344010901,2.5,,,,,
Butter Avenue Yonge & Lawrence,0.342078042,2.5,,,,,
Playa Cabana Cantina,0.261748071,2.5,,,,,
Mirage Grill & Lounge,0.156904,2.5,,,,,
Las 15 Salsas,0.427664286,3,,,,,
Ahwatukee Country Club,0.105493103,2,,,,,
Pizzaiolo,0.443590909,3,,,,,
Raku Sushi,0.276704545,2.5,,,,,
Kasai,0.294628889,2.5,,,,,
Sushi St-Denis,0.09972716,2,,,,,
JD's Sports Pub & Lounge,0.265321951,2.5,,,,,
Soupesoup,0.144636842,2.5,,,,,
Safeway,0.365175,2.5,,,,,
Peckish Prep,0.172407143,2.5,,,,,
It's A Grind Coffee House,0.313702857,2.5,,,,,
Cost Plus World Market,0.329927273,2.5,,,,,
Brother's Restaurant,0.268489888,2.5,,,,,
The Brown Bag Deli Restaurant,0.364582558,2.5,,,,,
Golden Donuts & Smoothies,0.318067073,2.5,,,,,
Bistro 422 Bar & Grill,0,2,,,,,
Sweets & Beats,0.419014286,3,,,,,
Los Zarapes,0.347710526,2.5,,,,,
Al Pastor,0.195041007,2.5,,,,,
Mario Fazio's Restaurant & Catering,0.302622566,2.5,,,,,
My Florist Cafe,0.220839249,2.5,,,,,
White House Meats,0.45546,3,,,,,
Palio Pronto,0.110310938,2,,,,,
Free Times,0.255579661,2.5,,,,,
The I.D.E.A. Store,0.53575,3,,,,,
La Bistrote,0.5746,3.5,,,,,
Badger Bowl,0.2954,2.5,,,,,
Peroni Resto Bar,-0.0009,2,,,,,
Menchie's - Brossard,0.3896,3,,,,,
Reds Bistro and Wine Bar,0.221091667,2.5,,,,,
Extra Butter Coffee,0.22721875,2.5,,,,,
Brickstone,0.196446154,2.5,,,,,
Native New Yorker,0.128092308,2.5,,,,,
No 1 Chinese Kitchen,0.2079,2.5,,,,,
Ristorante Pizzeria La Piazzetta,-0.6296,1.5,,,,,
La Strada Bakery,0.603711111,3.5,,,,,
Whataburger,0.35802,2.5,,,,,
Restaurant Beijing,0.246200912,2.5,,,,,
Paradise Bakery and Cafe,0.181635897,2.5,,,,,
William J Walter,0.392763158,3,,,,,
The Burnham Restaurant,0.325876316,2.5,,,,,
Golden Crisp Fish & Chips,0.118363158,2,,,,,
Hemingway's Cafe,0.289773913,2.5,,,,,
Homewood Suites by Hilton Phoenix Tempe ASU Area,0.540166667,3,,,,,
Tasti D-Lite,0.263562162,2.5,,,,,
Microsoft Cafeteria,0.259636364,2.5,,,,,
Master Italian Pizzeria,0.343730769,2.5,,,,,
Lac Vien Vietnamese Restaurant,0.199208532,2.5,,,,,
Honey Hut Ice Cream Shoppe,0.281215464,2.5,,,,,
Carmona's Cafe,0.131234043,2.5,,,,,
Est West Cafe,0.266181622,2.5,,,,,
Druxy's Famous Deli,0.08535,2,,,,,
Bar Moderno,0.284947619,2.5,,,,,
Osteria 2350,0.224130508,2.5,,,,,
Morningside Wild West,0,2,,,,,
Panaderia & Taqueria Marimar,0.37915,3,,,,,
The Original Flame Burger,0.171549091,2.5,,,,,
Gary's Barbershop,0.48675,3,,,,,
Gourmet Express,0.33270198,2.5,,,,,
Espresso Planet,0.274325,2.5,,,,,
Djerba la Douce,0.281565556,2.5,,,,,
J&R Kosher Meat & Delicatessen,0.384525,3,,,,,
Vintage Tea & Coffee,0.352025824,2.5,,,,,
Poutini's House of Poutine,0.293855634,2.5,,,,,
Giuseppes Pizza & Subs,0.174361538,2.5,,,,,
Bert's Backyard Bar and Bistro,0.274077143,2.5,,,,,
Shahi The Royal Roti,0.1662,2.5,,,,,
Yoga Styles,0.78705,4,,,,,
Big Bus Tours - Las Vegas,0.21214,2.5,,,,,
Fox & Fiddle,0.214283333,2.5,,,,,
Bread and Kabob,0.219299275,2.5,,,,,
Luna Rossa,0.297495079,2.5,,,,,
Wright's Auto Service,0.4019,3,,,,,
Metro Plus,0.1226,2.5,,,,,
Destingo,0.092832787,2,,,,,
Dozen Cupcakes,0.276481457,2.5,,,,,
Rollins & Petersen Orthodontics,0.6249,3.5,,,,,
Bucci's Brick Oven,0.266025758,2.5,,,,,
Blackfriars,0.323145946,2.5,,,,,
Henri Saint-Henri,0.331164583,2.5,,,,,
barcode,-0.498266667,1.5,,,,,
Tim Hortons,0.099166667,2,,,,,
Chez Carl Express,0.2724,2.5,,,,,
McDonalds,0.003395,2,,,,,
